DATE,MEASURE_NAME,OBS_VALUE,Temp,Implied_date,Geo
2010-07-01,Claimant count,160.54303278688525,-01,2010-07-01,West Midlands
2010-06-01,Claimant count,161.99282786885246,-01,2010-06-01,West Midlands
2010-05-01,Claimant count,168.4887295081967,-01,2010-05-01,West Midlands
2010-04-01,Claimant count,176.63934426229508,-01,2010-04-01,West Midlands
2010-03-01,Claimant count,182.42315573770492,-01,2010-03-01,West Midlands
2010-02-01,Claimant count,187.75102459016392,-01,2010-02-01,West Midlands
2010-01-01,Claimant count,187.93032786885246,-01,2010-01-01,West Midlands
2011-12-01,Claimant count,169.31352459016392,-01,2011-12-01,West Midlands
2011-11-01,Claimant count,168.5706967213115,-01,2011-11-01,West Midlands
2011-10-01,Claimant count,170.47131147540983,-01,2011-10-01,West Midlands
2011-09-01,Claimant count,173.21721311475412,-01,2011-09-01,West Midlands
2011-08-01,Claimant count,173.51434426229508,-01,2011-08-01,West Midlands
2011-07-01,Claimant count,168.84733606557376,-01,2011-07-01,West Midlands
2011-06-01,Claimant count,163.98053278688525,-01,2011-06-01,West Midlands
2011-05-01,Claimant count,165.68647540983608,-01,2011-05-01,West Midlands
2011-04-01,Claimant count,166.92110655737704,-01,2011-04-01,West Midlands
2011-03-01,Claimant count,166.7674180327869,-01,2011-03-01,West Midlands
2011-02-01,Claimant count,167.83811475409834,-01,2011-02-01,West Midlands
2011-01-01,Claimant count,165.53790983606558,-01,2011-01-01,West Midlands
2012-12-01,Claimant count,160.91188524590163,-01,2012-12-01,West Midlands
2012-11-01,Claimant count,162.5512295081967,-01,2012-11-01,West Midlands
2012-10-01,Claimant count,164.98975409836066,-01,2012-10-01,West Midlands
2012-09-01,Claimant count,167.40778688524588,-01,2012-09-01,West Midlands
2012-08-01,Claimant count,168.7141393442623,-01,2012-08-01,West Midlands
2012-07-01,Claimant count,167.30532786885246,-01,2012-07-01,West Midlands
2012-06-01,Claimant count,166.3985655737705,-01,2012-06-01,West Midlands
2012-05-01,Claimant count,168.5706967213115,-01,2012-05-01,West Midlands
2012-04-01,Claimant count,171.18340163934425,-01,2012-04-01,West Midlands
2012-03-01,Claimant count,176.68545081967213,-01,2012-03-01,West Midlands
2012-02-01,Claimant count,179.44159836065575,-01,2012-02-01,West Midlands
2012-01-01,Claimant count,177.31045081967213,-01,2012-01-01,West Midlands
2013-12-01,Claimant count,130.4252049180328,-01,2013-12-01,West Midlands
2013-11-01,Claimant count,132.42827868852459,-01,2013-11-01,West Midlands
2013-10-01,Claimant count,138.41188524590166,-01,2013-10-01,West Midlands
2013-09-01,Claimant count,145.11782786885246,-01,2013-09-01,West Midlands
2013-08-01,Claimant count,150.8247950819672,-01,2013-08-01,West Midlands
2013-07-01,Claimant count,153.68340163934425,-01,2013-07-01,West Midlands
2013-06-01,Claimant count,155.35860655737704,-01,2013-06-01,West Midlands
2013-05-01,Claimant count,160.0922131147541,-01,2013-05-01,West Midlands
2013-04-01,Claimant count,164.21618852459017,-01,2013-04-01,West Midlands
2013-03-01,Claimant count,168.09938524590166,-01,2013-03-01,West Midlands
2013-02-01,Claimant count,170.70184426229508,-01,2013-02-01,West Midlands
2013-01-01,Claimant count,166.93647540983608,-01,2013-01-01,West Midlands
2014-12-01,Claimant count,87.2438524590164,-01,2014-12-01,West Midlands
2014-11-01,Claimant count,90.64036885245902,-01,2014-11-01,West Midlands
2014-10-01,Claimant count,97.08504098360655,-01,2014-10-01,West Midlands
2014-09-01,Claimant count,101.77254098360655,-01,2014-09-01,West Midlands
2014-08-01,Claimant count,105.67622950819673,-01,2014-08-01,West Midlands
2014-07-01,Claimant count,109.8360655737705,-01,2014-07-01,West Midlands
2014-06-01,Claimant count,112.43340163934425,-01,2014-06-01,West Midlands
2014-05-01,Claimant count,118.95491803278688,-01,2014-05-01,West Midlands
2014-04-01,Claimant count,124.5952868852459,-01,2014-04-01,West Midlands
2014-03-01,Claimant count,129.83094262295083,-01,2014-03-01,West Midlands
2014-02-01,Claimant count,134.6516393442623,-01,2014-02-01,West Midlands
2014-01-01,Claimant count,134.7387295081967,-01,2014-01-01,West Midlands
2015-12-01,Claimant count,75.97848360655738,-01,2015-12-01,West Midlands
2015-11-01,Claimant count,76.38831967213115,-01,2015-11-01,West Midlands
2015-10-01,Claimant count,78.51434426229508,-01,2015-10-01,West Midlands
2015-09-01,Claimant count,80.07684426229508,-01,2015-09-01,West Midlands
2015-08-01,Claimant count,81.48053278688525,-01,2015-08-01,West Midlands
2015-07-01,Claimant count,81.06557377049181,-01,2015-07-01,West Midlands
2015-06-01,Claimant count,81.29610655737704,-01,2015-06-01,West Midlands
2015-05-01,Claimant count,84.06762295081968,-01,2015-05-01,West Midlands
2015-04-01,Claimant count,87.37704918032787,-01,2015-04-01,West Midlands
2015-03-01,Claimant count,89.76946721311475,-01,2015-03-01,West Midlands
2015-02-01,Claimant count,92.32069672131148,-01,2015-02-01,West Midlands
2015-01-01,Claimant count,91.28586065573771,-01,2015-01-01,West Midlands
2016-12-01,Claimant count,82.0235655737705,-01,2016-12-01,West Midlands
2016-11-01,Claimant count,83.5860655737705,-01,2016-11-01,West Midlands
2016-10-01,Claimant count,85.35860655737704,-01,2016-10-01,West Midlands
2016-09-01,Claimant count,85.64036885245902,-01,2016-09-01,West Midlands
2016-08-01,Claimant count,85.60450819672131,-01,2016-08-01,West Midlands
2016-07-01,Claimant count,84.34938524590164,-01,2016-07-01,West Midlands
2016-06-01,Claimant count,84.24180327868852,-01,2016-06-01,West Midlands
2016-05-01,Claimant count,85.0922131147541,-01,2016-05-01,West Midlands
2016-04-01,Claimant count,85.78381147540983,-01,2016-04-01,West Midlands
2016-03-01,Claimant count,85.17930327868852,-01,2016-03-01,West Midlands
2016-02-01,Claimant count,83.58094262295081,-01,2016-02-01,West Midlands
2016-01-01,Claimant count,80.74795081967213,-01,2016-01-01,West Midlands
2017-12-01,Claimant count,86.4907786885246,-01,2017-12-01,West Midlands
2017-11-01,Claimant count,85.625,-01,2017-11-01,West Midlands
2017-10-01,Claimant count,86.35758196721312,-01,2017-10-01,West Midlands
2017-09-01,Claimant count,87.43852459016394,-01,2017-09-01,West Midlands
2017-08-01,Claimant count,87.36680327868852,-01,2017-08-01,West Midlands
2017-07-01,Claimant count,87.10040983606558,-01,2017-07-01,West Midlands
2017-06-01,Claimant count,88.21209016393443,-01,2017-06-01,West Midlands
2017-05-01,Claimant count,89.46209016393442,-01,2017-05-01,West Midlands
2017-04-01,Claimant count,90.82991803278688,-01,2017-04-01,West Midlands
2017-03-01,Claimant count,89.86680327868852,-01,2017-03-01,West Midlands
2017-02-01,Claimant count,87.63319672131148,-01,2017-02-01,West Midlands
2017-01-01,Claimant count,84.45184426229508,-01,2017-01-01,West Midlands
2018-12-01,Claimant count,108.61168032786885,-01,2018-12-01,West Midlands
2018-11-01,Claimant count,107.26946721311475,-01,2018-11-01,West Midlands
2018-10-01,Claimant count,106.72131147540983,-01,2018-10-01,West Midlands
2018-09-01,Claimant count,105.45594262295081,-01,2018-09-01,West Midlands
2018-08-01,Claimant count,104.22131147540983,-01,2018-08-01,West Midlands
2018-07-01,Claimant count,102.77663934426229,-01,2018-07-01,West Midlands
2018-06-01,Claimant count,101.99795081967213,-01,2018-06-01,West Midlands
